sample_id,lat,lon,elevation,slope_deg,aspect_deg,drainage_density,lithology,landuse,mean_annual_rainfall_mm,label,district,date,landslide_type,area_m2,curvature,distance_to_drainage,terrain_ruggedness
NEG-0217,27.382889,88.33491,1268.1,14.15,269.17,0.4941,,forest,6313.6,0,,,,,-0.002067,88.2,18.36
NEG-0218,27.376227,88.363506,1678.2,25.89,256.08,0.0,,forest,6331.6,0,,,,,-0.005651,317.9,35.79
NEG-0219,27.238429,88.136949,1940.3,37.07,86.17,0.0,,forest,4605.6,0,,,,,0.001727,302.6,55.37
NEG-0220,27.225636,88.733857,1547.1,29.91,145.08,0.0,,forest,4427.4,0,,,,,-0.007492,440.8,41.82
NEG-0221,27.168855,88.201844,1597.3,18.79,250.56,0.0,,built-up,6372.8,0,,,,,0.002248,500.5,24.79
NEG-0222,27.625608,88.691424,2036.3,25.13,354.92,0.2706,,forest,3564.9,0,,,,,0.011029,88.2,35.12
NEG-0223,27.30705,88.415441,1460.7,14.11,57.74,0.0941,,forest,6245.7,0,,,,,0.001734,149.8,18.36
NEG-0224,27.11673,88.161572,839.2,27.32,74.62,0.0,,forest,5272.9,0,,,,,-0.009985,440.8,38.57
NEG-0225,27.147633,88.310764,1317.2,18.05,249.13,0.0,,forest,3770.2,0,,,,,-0.001277,973.4,23.39
NEG-0226,27.230597,88.246761,1585.9,31.86,202.7,0.0,,forest,5011.8,0,,,,,-0.004114,505.6,46.37
NEG-0227,27.246724,88.613901,1440.7,19.97,181.82,0.0,,grassland,4647.4,0,,,,,0.001688,591.4,26.73
NEG-0228,27.183706,88.635674,930.8,23.11,245.48,0.0,,forest,3638.4,0,,,,,-0.000798,688.0,31.02
NEG-0229,27.167651,88.297097,419.7,40.64,112.3,0.2118,,forest,3729.7,0,,,,,0.007092,223.8,61.33
NEG-0230,27.324949,88.836128,4080.4,16.97,276.57,0.0,,moss/lichen,3494.0,0,,,,,0.000828,605.1,21.97
NEG-0231,27.155254,88.435307,1557.6,18.96,144.07,0.0,,forest,4118.2,0,,,,,0.000167,734.7,25.19
NEG-0232,27.359105,88.474756,594.2,41.93,79.44,0.3412,,forest,7295.3,0,,,,,0.000603,117.6,64.26
NEG-0233,27.199171,88.388992,1682.5,39.57,352.25,0.0,,forest,4665.5,0,,,,,0.008931,335.1,59.3
NEG-0234,27.23009,88.498314,412.7,20.87,334.87,0.1882,,forest,5308.9,0,,,,,-0.012411,146.9,29.87
NEG-0235,27.326332,88.6133,1677.9,27.28,268.47,0.0,,built-up,5611.5,0,,,,,0.015488,962.6,39.97
NEG-0236,27.121456,88.346865,879.1,8.59,104.85,0.0,,forest,3904.0,0,,,,,-0.003448,725.8,13.11
NEG-0237,27.124667,88.142887,1478.5,36.82,158.02,0.0,,forest,5339.4,0,,,,,-0.005466,671.4,53.68
NEG-0238,27.289493,88.591776,890.8,34.88,121.46,0.2353,,forest,5498.2,0,,,,,-0.022756,171.4,52.86
NEG-0239,28.037193,88.618245,4851.5,6.16,312.17,0.0353,,grassland,1149.0,0,,,,,0.002748,277.2,8.36
NEG-0240,27.142618,88.147832,1502.0,28.69,98.54,0.0,,forest,5644.9,0,,,,,0.015941,539.5,40.81
NEG-0241,27.126812,88.14131,1478.0,22.97,254.06,0.0,,forest,5305.8,0,,,,,-0.003664,827.6,30.13
NEG-0242,27.174611,88.298501,515.5,30.99,150.24,0.0353,,forest,3757.6,0,,,,,0.004525,290.9,43.61
NEG-0243,27.095307,88.430958,896.8,18.69,149.15,0.0,,forest,3702.2,0,,,,,-0.003602,892.3,25.78
NEG-0244,27.222964,88.283651,1453.6,24.14,82.49,0.0,,forest,4086.2,0,,,,,-0.012483,670.1,33.46
NEG-0245,27.229725,88.537146,1017.3,54.54,18.33,0.3412,,forest,5191.0,0,,,,,-0.010278,92.9,102.65
NEG-0246,27.162811,88.276153,1001.2,16.05,308.24,0.0,,forest,3559.0,0,,,,,-0.002367,808.6,20.57
NEG-0247,27.392448,88.54276,955.7,26.69,22.82,0.0706,,grassland,6396.4,0,,,,,0.008647,249.4,37.47
NEG-0248,27.286074,88.288089,856.3,30.83,307.48,0.0,,forest,4421.1,0,,,,,0.004265,519.9,43.11
NEG-0249,27.519538,88.553584,1252.2,17.28,2.73,0.0,,forest,7911.8,0,,,,,0.008055,352.7,23.16
NEG-0250,27.326899,88.439118,1117.5,40.0,186.95,0.1412,,forest,7024.0,0,,,,,-0.004128,124.7,61.17
NEG-0251,27.157255,88.20334,976.2,28.78,174.45,0.0118,,forest,6141.4,0,,,,,0.004475,242.3,40.13
NEG-0252,28.071105,88.567971,5557.6,19.98,101.41,0.2471,,bare/sparse vegetation,1065.8,0,,,,,-0.000894,88.2,26.14
NEG-0253,27.249359,88.536875,503.0,11.56,67.66,0.2706,,forest,5631.7,0,,,,,0.010511,0.0,19.92
NEG-0254,27.216132,88.7435,1416.8,32.62,357.35,0.2,,forest,4376.3,0,,,,,-0.001219,83.1,46.58
NEG-0255,27.370274,88.22276,1745.0,9.92,167.94,0.1059,,forest,4908.8,0,,,,,-0.00143,149.8,13.49
NEG-0257,27.297248,88.608938,1046.6,19.42,288.46,0.0,,forest,5368.8,0,,,,,-0.001333,328.6,26.28
NEG-0258,27.181989,88.634237,841.2,24.38,262.37,0.0,,built-up,3615.3,0,,,,,0.008018,500.5,34.52
NEG-0259,27.852226,88.690625,4025.1,24.64,108.31,0.0,,grassland,1531.2,0,,,,,-0.000216,328.6,33.3
NEG-0260,27.307497,88.594385,1283.4,20.91,302.61,0.0,,built-up,5624.1,0,,,,,-0.013572,823.4,30.0
NEG-0261,27.345144,88.297101,1715.2,25.2,56.4,0.1882,,forest,4697.5,0,,,,,0.015453,29.4,36.59
NEG-0262,27.261473,88.326885,1422.1,19.27,256.12,0.0,,grassland,4465.6,0,,,,,-0.010129,513.2,28.09
NEG-0263,27.195114,88.429276,1310.2,24.31,130.07,0.0,,grassland,4751.2,0,,,,,0.004927,383.2,33.54
NEG-0264,28.049152,88.76386,5273.0,2.36,312.47,0.0,,bare/sparse vegetation,837.8,0,,,,,0.003964,417.7,5.12
NEG-0265,27.202325,88.342205,1066.0,30.09,296.52,0.0,,forest,4165.5,0,,,,,0.001992,644.5,41.87
NEG-0266,27.24302,88.474052,368.3,39.33,38.06,0.2706,,forest,5522.7,0,,,,,0.019529,124.7,59.57
NEG-0267,27.344979,88.342254,1710.2,19.18,272.93,0.2,,grassland,5082.9,0,,,,,-0.000373,176.3,24.84
NEG-0268,27.409793,88.503951,1132.3,19.13,359.2,0.2353,,forest,6596.9,0,,,,,0.009084,106.0,27.18
NEG-0269,28.043522,88.683827,5047.3,2.94,354.3,0.3059,,bare/sparse vegetation,837.8,0,,,,,0.000644,131.4,3.79
NEG-0270,27.229191,88.223645,1753.1,23.29,144.44,0.0706,,forest,5462.3,0,,,,,0.00314,124.7,31.2
NEG-0271,27.144204,88.430568,1105.1,22.94,229.15,0.0118,,forest,4056.2,0,,,,,0.001828,264.5,31.73
NEG-0272,27.768304,88.718291,3429.3,11.61,105.53,0.4,,forest,2317.3,0,,,,,0.00531,58.8,15.88
NEG-0273,27.34209,88.474933,674.5,28.67,64.07,0.0706,,forest,7157.0,0,,,,,0.004258,229.5,39.47
NEG-0274,27.629516,88.6964,2090.6,32.86,174.6,0.2235,,grassland,3410.6,0,,,,,0.00032,92.9,46.98
NEG-0275,27.192116,88.157402,1887.4,26.09,232.04,0.0,,forest,5741.2,0,,,,,-0.002576,549.0,35.59
NEG-0276,27.366388,88.366294,1836.4,31.0,293.41,0.1882,,forest,5909.3,0,,,,,0.000539,188.2,43.03
NEG-0277,27.190457,88.468865,933.2,27.32,353.52,0.0,,forest,4641.3,0,,,,,5.3e-05,737.0,37.49
NEG-0278,27.184262,88.368206,1586.5,29.09,288.72,0.0,,forest,4354.5,0,,,,,0.006473,447.6,40.33
NEG-0279,27.203781,88.524282,1024.9,26.82,146.4,0.0,,forest,4648.1,0,,,,,-0.025447,409.3,44.25
NEG-0280,27.242851,88.618202,1183.7,42.56,175.54,0.2118,,forest,4499.7,0,,,,,-0.005897,58.8,66.09
NEG-0281,27.368464,88.475524,705.6,33.11,103.03,0.0,,forest,7146.1,0,,,,,-0.008479,353.9,46.8
NEG-0282,27.155671,88.341777,1543.3,35.55,6.23,0.0,,forest,4051.1,0,,,,,-0.000292,791.3,52.07
NEG-0283,27.20639,88.608172,776.1,21.59,114.13,0.0,,forest,3933.6,0,,,,,9.7e-05,353.9,29.43
NEG-0284,27.225806,88.286476,1277.5,35.76,100.62,0.0,,forest,4115.3,0,,,,,0.009161,449.5,52.77
NEG-0285,27.230522,88.44882,1084.8,17.84,10.88,0.2,,forest,5319.5,0,,,,,-0.010543,146.9,26.38
NEG-0286,27.254055,88.590836,1302.0,27.68,15.91,0.0,,forest,5073.4,0,,,,,0.013227,827.6,39.43
NEG-0287,27.250799,88.526937,639.2,32.16,159.46,0.0,,forest,5637.0,0,,,,,0.008953,353.9,45.86
NEG-0288,28.047821,88.766158,5283.9,4.29,237.66,0.0,,grassland,837.8,0,,,,,0.002367,541.9,6.22
NEG-0289,27.844823,88.819281,4311.2,17.02,156.45,0.2824,,grassland,1475.4,0,,,,,0.001914,41.6,22.18
NEG-0290,27.177932,88.226806,1068.5,34.19,158.39,0.2,,forest,5485.2,0,,,,,-0.00044,88.2,48.86
NEG-0291,28.032284,88.719665,5217.1,9.73,273.17,0.2,,moss/lichen,837.8,0,,,,,0.016512,0.0,20.96
NEG-0292,27.340663,88.468654,926.0,18.32,78.31,0.0,,forest,7252.5,0,,,,,-0.008943,299.7,24.91
NEG-0293,27.829933,88.816072,4220.5,12.9,149.34,0.2588,,bare/sparse vegetation,1626.7,0,,,,,-0.004886,205.7,17.26
NEG-0294,27.332625,88.61818,1687.7,32.89,119.96,0.0,,forest,5613.6,0,,,,,0.003976,499.6,48.03
NEG-0295,27.158478,88.217854,1166.4,17.63,251.85,0.0941,,forest,5626.4,0,,,,,-0.00377,92.9,23.74
NEG-0296,28.062077,88.623276,4928.8,10.76,119.28,0.0,,bare/sparse vegetation,1149.0,0,,,,,0.00581,499.6,15.32
NEG-0297,27.312329,88.239623,1656.3,14.45,335.6,0.0118,,forest,4851.2,0,,,,,-0.0005,332.5,18.32
NEG-0298,27.23375,88.335293,1612.1,37.18,356.34,0.0,,forest,4260.4,0,,,,,0.004349,798.4,54.86
NEG-0299,28.050518,88.69427,5046.5,2.99,146.64,0.2118,,grassland,837.8,0,,,,,0.000431,41.6,4.2
NEG-0300,27.136121,88.144064,1595.0,36.72,90.17,0.0118,,forest,5471.9,0,,,,,-0.005212,262.9,53.21
NEG-0301,27.368421,88.610871,1853.6,26.42,134.23,0.0,,built-up,5790.6,0,,,,,0.01138,763.0,37.62
NEG-0302,27.268763,88.2808,734.3,29.05,328.7,0.2235,,forest,4360.2,0,,,,,0.000437,83.1,40.23
NEG-0303,27.432411,88.642408,1552.0,10.07,257.62,0.1647,,grassland,5711.7,0,,,,,0.001992,106.0,15.23
NEG-0304,27.383255,88.569229,1424.3,24.9,347.89,0.0,,forest,6098.3,0,,,,,-0.000966,470.2,32.89
NEG-0305,27.396284,88.775439,4086.5,17.84,136.2,0.0,,grassland,3535.7,0,,,,,0.014498,705.9,26.68
NEG-0306,27.28619,88.575043,1326.7,24.05,25.59,0.0,,forest,5629.6,0,,,,,0.011172,623.4,32.99
NEG-0307,27.496557,88.532535,1163.8,20.28,324.6,0.2235,,forest,7747.1,0,,,,,0.007238,65.7,28.22
NEG-0308,27.175455,88.090475,2392.7,28.28,113.71,0.0,,forest,3775.6,0,,,,,-0.009909,335.1,39.83
NEG-0309,27.156428,88.090406,2173.0,31.47,245.43,0.0,,forest,3910.9,0,,,,,0.003487,353.9,44.3
NEG-0310,27.324011,88.481942,777.0,38.83,327.17,0.0471,,forest,6690.7,0,,,,,-0.012836,213.9,59.19
NEG-0311,28.002761,88.768079,5204.9,5.44,240.34,0.0353,,moss/lichen,837.8,0,,,,,-0.00197,290.9,7.05
NEG-0312,27.159639,88.504339,1001.7,23.77,155.51,0.0,,forest,3699.6,0,,,,,0.004967,549.0,32.45
NEG-0313,27.756307,88.721679,3398.4,17.44,32.36,0.0353,,forest,2243.3,0,,,,,0.006375,236.9,23.81
NEG-0314,27.135652,88.279466,409.2,34.44,263.44,0.2353,,forest,3472.1,0,,,,,0.011425,146.9,49.75
NEG-0315,28.027289,88.733501,5513.8,20.4,98.0,0.0,,bare/sparse vegetation,837.8,0,,,,,0.000227,784.2,26.75
NEG-0316,27.262154,88.385824,1544.4,32.29,311.98,0.0471,,forest,5001.3,0,,,,,-0.001909,270.9,45.5
NEG-0317,27.66447,88.604611,2289.7,39.17,221.58,0.0,,forest,3176.2,0,,,,,-0.00213,317.9,59.32
NEG-0318,27.66818,88.802655,4088.4,21.11,318.59,0.0,,grassland,2098.9,0,,,,,0.007324,780.9,29.01
NEG-0319,27.348946,88.197016,1807.8,26.04,38.76,0.0,,forest,4900.1,0,,,,,-0.016883,352.7,39.08
NEG-0320,27.387535,88.803275,4047.3,14.69,247.37,0.2353,,grassland,3520.6,0,,,,,0.007184,158.3,20.37
NEG-0321,28.025764,88.617728,4905.4,16.09,242.18,0.0471,,moss/lichen,1149.0,0,,,,,-0.004398,270.9,21.2
NEG-0322,27.166911,88.341186,954.9,36.19,41.69,0.2,,forest,4078.3,0,,,,,-0.006734,205.7,52.77
NEG-0323,27.253313,88.444216,645.2,16.6,49.46,0.0,,forest,5591.0,0,,,,,-0.003358,557.6,22.18
NEG-0324,27.903449,88.415138,4535.4,2.68,101.93,0.3294,,grassland,1497.2,0,,,,,0.003597,146.9,4.77
NEG-0325,27.436131,88.533839,1499.4,17.36,221.49,0.1765,,forest,6673.0,0,,,,,-0.004686,41.6,22.41
