Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MEG/WKH/78O10/2016/05,Meghalaya,West Khasi Hills,47 mile stone slide,Along NH44E near 47 mile stone,25.548306,91.61775,,,,Active
ME/EKJ/78O15/2015/143,Meghalaya,East Khasi Hills, ,1.2 km NE of Myllad village,25.332836,91.934395,,,,Active
MG/WKH/78O06/2017/5,Meghalaya,West Khasi Hills,Nongstoin PHE slide,Nongstoin PHE,25.523083,91.268972,,,,Active
MEG/RIB/83C1/2016/6,Meghalaya,Ri-Bhoi,Mawkangi,SH,25.874293,92.018322,,,,Suspended
MEG/WJH/83C4/2016/07,Meghalaya,West Jaintia Hills,Nongtalang┬á Amsohmeheleng,NH40E( Jowai Dawki road),25.215028,92.075167,,,,Suspended
ME/WJH/883C03/2015/187,Meghalaya,West Jaintia Hills, , ,25.346111,92.00675,,,,Suspended
ME/EKH/83C02/2015/151,Meghalaya,East Khasi Hills, ,"Puriang, NH-44",25.542694,92.096472,,,,Active
MEGH/WKH/78O06/2007/D-6,Meghalaya,West Khasi Hills,Lawab slide,Road (Nongstoin by pass),25.5208,91.25985,,,, 
MG/EKH/78O12/2017/30,Meghalaya,East Khasi Hills, ,<Null>,25.205651,91.599771,,,,Active
ME/EKJ/78O15/2015/68,Meghalaya,East Khasi Hills, ,Shillong-Sohra road,25.408236,91.778704,,,,Dormant
MEG/WJH/83C4/2016/41,Meghalaya,West Jaintia Hills,Hawali Tilla,Muktapur ΓÇôSankhat road,25.156419,92.141353,,,,Suspended
MEG/WJH/83C4/2016/18,Meghalaya,West Jaintia Hills,0.5 km SW of Power station,Myntdu Leshka power station road,25.197283,92.2225,,,,Suspended
MG/WKH/78O02/2017/26,Meghalaya,West Khasi Hills,3 km SE of Seinduli,NH44E,25.636747,91.162711,,,,Suspended
ME/EKJ/78O15/2015/141,Meghalaya,East Khasi Hills, ,1.5 km SE of Lum Thangding,25.438495,91.862917,,,,Active
 ,Meghalaya,East Khasi Hills,,,25.65060556,91.89945278,Debris,Slide,"Initiated   in   August,   2019.   Reactivated   during   heavy
rainfall in August, 2020.",Active
ME/EKH/83C02/2015/161,Meghalaya,East Khasi Hills, , ,25.747597,92.114167,,,,Suspended
MG/WKH/78O06/2017/1,Meghalaya,West Khasi Hills,Markasa debris slide,1.5 km East of Markasa NH44E,25.522717,91.448328,,,,Active
MG/WKH/78O02/2017/96,Meghalaya,West Khasi Hills,0.6 km S of Umdein,NH44E,25.629003,91.037664,,,,Suspended
MG/SWKH/78K14/2018/1,Meghalaya,South West Khasi  Hills,North of Makalbari,NH-44E,25.560028,90.833917,,,,Active
MG/SGH/78K11/2018/2,Meghalaya,South Garo hills,Nengkhra-Nongalbibra road slide,NH-62,25.39766,90.70111,,,,Active
ML/RIB/78O13/2014/09,Meghalaya,Ri-Bhoi,Pamdingoh A,GS road,25.937,91.87553,,,,Suspended
MEG/WKH/78O10/2016/04,Meghalaya,West Khasi Hills,NH44E slide4,Along NH44E 2 km West of Bynther village,25.537972,91.602361,,,,Active
MEG/RIB/78O13/2016/1,Meghalaya,Ri-Bhoi,19.720 km slide,NH6,25.954889,91.858667,,,,Active
ME/EKJ/78O15/2015/71,Meghalaya,East Khasi Hills, ,khrang approach road,25.338711,91.775111,,,,Active
ME/EKJ/78O15/2015/86,Meghalaya,East Khasi Hills, , ,25.39897,91.993367,,,,Active
ME/WJH/83C03/2015/167,Meghalaya,West Jaintia Hills, ,1.5 km SW of Jowai,25.430111,92.182167,,,,Suspended
MG/EKH/78O11/2017/14,Meghalaya,East Khasi Hills, ,<Null>,25.282485,91.57685,,,,Active
 ,Meghalaya,South Garo Hills,,,25.45903056,90.70813333,Debris,Slide,Landslide  occurred  around  3.00  hrs  on  17th  June  2022  as per the information by locals.,Active
MEG/WJH/83C4/2016/125,Meghalaya,East Jaintia Hills,2.58 km S of Umtyra,NH44,25.2625,92.384639,,,,Suspended
MEG/WJH/83C4/2016/128,Meghalaya,East Jaintia Hills,0.65 km S of Umtyra,NH44,25.280528,92.380042,,,,Suspended
MG/WKH/78O06/2017/2,Meghalaya,West Khasi Hills,Khyllem slide,NH44E,25.528308,91.395711,,,,Active
MEG/WJH/83C4/2016/10,Meghalaya,West Jaintia Hills,0.24 km N of Nongtalang,NH40E( Jowai Dawki road),25.211722,92.065389,,,,Suspended
ME/EKJ/78O14/2015/33,Meghalaya,East Khasi Hills, ,Old shillong -Guwahati road,25.612528,91.870861,,,,Suspended
ME/EKJ/78O15/2015/97,Meghalaya,East Khasi Hills, ,NH-40 (Shillong-Pynursla road),25.3763,91.874028,,,,Active
MG/WKH/78O02/2017/73,Meghalaya,West Khasi Hills,1.3 km E of Patharkhnang,NH44E,25.628758,91.164169,,,,Suspended
MG/WJH/83C06/2018/4,Meghalaya,East Jaintia Hills,Mynso quarry slide,Mynso-Samatan road,25.563472,92.329689,,,,Active
MEG/WJH/83C4/2016/17,Meghalaya,West Jaintia Hills,1.7 km S of Satpator,Laremshiap road,25.197283,92.1991,,,,Suspended
MG/WJH/83C06/2018/7,Meghalaya,West Jaintia hills,Barato slide,2 km North of Barato,25.611931,92.452931,,,,Active
MG/EKH/78O16/2017/6,Meghalaya,East Khasi Hills, ,Along sohrashella bypass from Sohbar village,25.205307,91.755686,,,,Active
MEG/RIB/78O13/2016/18,Meghalaya,Ri-Bhoi,Old weight bridge 2,NH6,25.978803,91.860278,,,,Suspended
MG/WKH/78O02/2017/11,Meghalaya,West Khasi Hills,0.7 km NW of Rwaing,NH44E,25.607567,91.174906,,,,Suspended
ME/EKJ/78O15/2015/118,Meghalaya,East Khasi Hills, ,Tangamng approach road,25.259326,91.872712,,,,Active
ME/EKJ/78O14/2015/15,Meghalaya,East Khasi Hills, ,Near Nongumlong,25.573653,91.831023,,,,Suspended
MEGH/JH/83C03/2009/D-29,Meghalaya,Jaintial hills,Jowai slide,NH-44 along Shillong - Jowai,25.44889,92.19417,,,, 
MEG/WJH/83C4/2016/135,Meghalaya,East Jaintia Hills,2.12 km SE of Lympyngngad, ,25.133911,92.222392,,,,Stabilized
MG/WKH/78O02/2017/63,Meghalaya,West Khasi Hills,2.5 km W of Rwiang,NH44E  Umshinrut road,25.606189,91.157706,,,,Suspended
MG/WKH/78O03/2017/11,Meghalaya,West Khasi Hills,1 km NNW of Nongpathar,Maweit  Nongyier road,25.455639,91.082944,,,,Suspended
ME/EKJ/78O15/2015/125,Meghalaya,East Khasi Hills, ,Myllad approach raod,25.324806,91.942194,,,,Active
MEG/WJH/83C4/2016/46,Meghalaya,East Jaintia Hills,1.25 km NE of Rathacherra,NH44,25.040511,92.446119,,,,Suspended
ME/EKJ/78O15/2015/122,Meghalaya,East Khasi Hills, ,Tangamng approach road,25.27197,91.874872,,,,Active
ME/EKJ/78O15/2015/103,Meghalaya,East Khasi Hills, ,NH-40 (Shillong-Pynursla road),25.351304,91.89353,,,,Active
