Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
AR/US/82P02/2022/063,Arunachal Pradesh,Upper Siang,Yingkiong road Slide 6,NH-513,28.619917,95.057583,,,,Active
AP/LDV/82P16/2022/26,Arunachal Pradesh,Lower Dibang Valley, From Mayudia Pass 1.2 kms along NH-313 towards Hunli, NH-313 (Roing-Anini road),28.244966,95.914872,,,,Active
AP/LS/83E09/2021/03,Arunachal Pradesh,Lower Subansiri,Tamen slide 4,Near Tamen,27.763722,93.992333,,,,Active
AP/PAP/83E11/2021/76,Arunachal Pradesh,Papum Pare,Sagalee-Jote road section slide 2,Sagalee-Jote road section,27.2495,93.507833,,,,Active
AP/PAP/83E12/2021/63,Arunachal Pradesh,Papum Pare,Mep Soro-Jote road section slide 8,Mep Soro-Jote road section,27.220833,93.698194,,,,Reactivated
AP/DV/82P15/2022/137,Arunachal Pradesh,Dibang Valley, From Hunli 47.4 kms along NH-313 towards Anini, NH-313 (Roing-Anini road),28.469481,95.849951,,,,Active
AP/AW/91D8/2022/85,Arunachal Pradesh,Anjaw,From Khupa/ KVK Anjaw 12 kms along HMH road towards Hunli,Hunli-Metengliang-Hayuliang (HMH) road,28.105572,96.447685,,,,Active
AR/ESI/82L15/2022/62,Arunachal Pradesh,East Siang,Boleng-Dite Dime Road Slide,Boleng-Dite Dime Road,28.335376,94.956509,,,,Actie
AR/TIR/83N05/2022/010,Arunachal Pradesh,Tirap,1.5 SW of Pangchau,Longding-Khonsa road,26.943433,95.385986,,,,Active
AP/PAP/83E12/2021/6,Arunachal Pradesh,Papum Pare,NE of Itanagar slide 3,NE of Itanagar,27.106722,93.660111,,,,Active
AP/LDV/82P11/2022/LS70,Arunachal Pradesh,East Siang,LS-70,NH-13,28.186582,95.471126,,,,Active
AP/E-Siang/82P8/2021/LS21,Arunachal Pradesh,East Siang,LS-21,NH-52,28.140639,95.292122,,,,Active
AP/PAP/83E12/2021/74,Arunachal Pradesh,Papum Pare,Mep Soro-Jote road section slide 11,Mep Soro-Jote road section,27.234917,93.536139,,,,Active
AP/PAP/83E15/2021/48,Arunachal Pradesh,Papum Pare,"NEEPCO office, Sagalee slide 2","NEEPCO office, Sagalee",27.260222,93.7895,,,,Active
AP/KM/83I01/2021/8,Arunachal Pradesh,Kamle,East of Tamen Suspension Bridge slide 2,E of Tamen bridge,27.751917,94.023472,,,,Suspended
AR/LPD/82L12/2021/08,Arunachal Pradesh,Leparada,Tirbin-Basar Road Slide,Tirbin-Basar Road,28.029848,94.616455,,,,Stabilized
AP/WSG/83I09/2021/114,Arunachal Pradesh,West Siang,NE of Likabali Police check-post slide,NE of Likabali Police check-post,27.688583,94.681,,,,Active
AP/DV/82P15/2022/147,Arunachal Pradesh,Dibang Valley,Yelmo landslide. From Hunli 42.8 kms along NH-313 towards Anini, NH-313 (Roing-Anini road),28.450374,95.855884,,,,Dormant
AR/US/82P04/2022/048,Arunachal Pradesh,Upper Siang,Yingkiong road Slide 1,NH-513,28.626972,95.035722,,,,Active
AR/USI/82L13/2022/52,Arunachal Pradesh,Upper Siang,Likor-Palling Road Slide,Likor-Palling Road,28.830097,94.874715,,,,Active
AR/CHNG/83M15/2022/090,Arunachal Pradesh,Changlang,900 W of New Kamlao,"NH-315, Jairampur-Manmao road section",27.299744,95.987092,,,,Active
AR/EK/ 83A14/2020-21/21,Arunachal Pradesh,East Kameng,Pakke-Bameng road section slide-6,Pakke-Bameng Road,27.555194,92.966222,,,, Active
AR/CHNG/83M12/2022/059,Arunachal Pradesh,Changlang,1.5km SW of Thingdang,Changlang-Margherita road (NH-215),27.190295,95.716317,,,,Active
