Sl_No,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History
29,AS/GOA/78J12/2018/2,Assam,Goalpara,Phophonga village landslide,Phophonga village,26.061,90.605,Rock cum debris,Slide,
30,AS/HKN/83D10/2020/7,Assam,Hailakandi,Kurttathal slide,Nunaikhal,24.51,92.64,Debris,Slide,
31,AS/BON/78J11/2018/2,Assam,Bongaigaon,Shalabhandar Quarry,Shalabhandar,26.3848,90.5943,Rock,Slide,
32,AS/KAR/83F15/2018/1,Assam,Karbi Anglong,Numaligarh-Silonijan road slide 1,Numaligarh-Silonijan road,26.34075,93.78861,Soil,Slide,
33,AS/DIM/83G4/2015/57,Assam,Dima Hasao,Bara Haflong,"Bara Haflong,Near New Haflong RS",25.156,93.018,Earth,Slide,
34,AS/KAR/83G09/2017/20,Assam,Karbi Anglong,Nowgong3,Along Northeast Frontiers Railway line,25.8465,93.687,Debris,Slide,
35,ASM/DIM/83C15/2017/11,Assam,Dima Hasao,Amrudissa slide,Near Amrudisa village,25.441734,92.892033,Debris cum earth,Slide,
36,AS/KAR/83F07/2018/1,Assam,Karbi Anglong,Rongar-eh Slide No. 1,Rongar-eh - Pinghat Rangpigaon - Tiabergaon Road Section,26.314964,93.256408,Debris,Slide,
37,AS/DIM/83G2/2015/05,Assam,Dima Hasao, ,"NH 54, about 1 km East of Langlao Disa",25.67153,93.11522,Debris,Topple,
38,AS/SON/83B09/2018/8,Assam,Sonitpur,Ringkangpur slide-4,Ringkangpur,26.93819,92.70402,Debris,Slide,
39,AS/JOR/83J06/2020/1,Assam,Jorhat, ,Bailey Bridge (after Chankijan),26.6,94.34,Rock,Slide,
40,AS/DIM/83G4/2015/45,Assam,Dima Hasao,Riao slide,Near Riao village.,25.169,93.156,Earth,Slide,
41,AS/CHR/83D13/2020/1,Assam,Cachar,Balichhara slide-1,"NH-27(Old NH-54E, Silchar-Lumding road)",24.97,92.76,Debris,Slide,
42,AS/DIM/83G07/2017/40,Assam,Dima Hasao,Kepre Tongikro Mongjang slide No.9,Kepre Tongikro Mongjang road section.,25.405,93.372194,Rock cum debris,Slide,
43,ASM/WKA/83B08/2017/42,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.2,"~300 meter South of Silaguri, Sunani  - Umpanai road",25.968083,92.3575,Debris,Slide,
44,AS/JOR/83J06/2020/15,Assam,Jorhat, ,NH702D (After Aokum),26.58,94.35,Earth,Slide,
45,AS/DIM/83G07/2017/16,Assam,Dima Hasao,Nkio-Prasadimdik slide No.6,Nkio-Prasadimdik road section.,25.444306,93.423944,Debris,Slide,
46,AS/KAR/83F08/2018/4,Assam,Karbi Anglong,Pinghat Rangpigaon Slide No. 1,Pinghat Rangpigaon,26.32685,93.267639,Soil,Slide,
47,AS/KAM/78N16/2015/81,Assam,Kamrup,Medhikuchi-2,"En-route Medhikuchi to Upper Tepesiya, Kamrup",26.110056,91.908944,Debris,Slide,
48,AS/DIH/83G08/2020/12,Assam,Dima Hasao, ,Data collected from Mahur-Toulpui road.,25.21,93.25,Debris,Slide,
49,AS/DIM/83C16/2017/03,Assam,Dima Hasao,Retzawl3,NH54,25.108759,92.978048,Debris,Slide,
50,AS/DIH/83G08/2020/27,Assam,Dima Hasao, ,"Namna river, Laisong Bazar",25.21,93.31,Debris,Slide,
51,AS/DIM/83G07/2017/41,Assam,Dima Hasao,Kepre Tongikro Mongjang slide No.10,Kepre Tongikro Mongjang road section.,25.402472,93.390444,Debris,Slide,
52,AS/SON/83B09/2018/10,Assam,Sonitpur,Mansiri River slide-1,Maltang,26.9693,92.634,Debris,Slide,
53,ASM/DH/83G4/2016/54,Assam,Dima Hasao,Phaiding slide,"Phaiding, Haflong",25.204556,93.138889,Debris,Slide,
54,AS/KAM/78N16/2015/85,Assam,Kamrup,3no. Salbari,"3no. Salbari, Babuji nagar, Kharghuli Hill, Kamrup",26.19025,91.806472,Debris,Slide,
55,AS/JOR/83J06/2020/7,Assam,Jorhat, ,Mariani-Chanki Rd,26.55,94.36,Rock,Slide,
56,AS/SON/83B09/2018/12,Assam,Sonitpur,Mansiri River slide-3,Maltang,26.97013,92.63363,Debris,Slide,
57,AS/DIM/83G07/2017/58,Assam,Dima Hasao,Daoblibdisa market slide No.4,Near Daoblibdisa market,25.436861,93.404583,Debris,Slide,
58,ASM/DIM/83C15/2017/01,Assam,Dima Hasao,Dehangi Slide,Umrangso_Dehangi Highway,25.423438,92.985022,Debris cum earth,Slide,
59,AS/KAR/83G09/2017/17,Assam,Karbi Anglong,NowgongTilabasti,Near Railway line,25.84782,93.70174,Rock cum debris,Slide,
60,ASM/WKA/83B08/2017/43,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.3,"~500 meter South of Silaguri, Sunani - Umpanai road",25.96667,92.356917,Earth,Slide,
61,AS/KRP/78N16/2018/003,Assam,Kamrup,Hastinapur landslide,Hastinapur Near Jorabat opposite of Cow bazaar,26.195306,91.765639,Debris,Slide,
62,AS/DIM/83C16/2017/33,Assam,Dima Hasao,New Harangajao railway station slide.,NH54,25.11219,92.86881,Debris,Slide,
