Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MN/KAM/83L05/2018/16,Manipur,Kamjong, ,0.5 km W of Laushing Village,24.849667,94.365306,,,,Inactive
MN/CHA/83L03/2018/34,Manipur,Chandel, ,Wamku,24.256583,94.093111,,,,Suspended
MAN/TAM/83H09/2009-10/MN-6,Manipur,Tamenglong,Awangkhul slide,NH-53 (Imphal-Jiribam ),24.82375,93.523861,,,, 
MN/NON/83H05/2018/38,Manipur,Noney, ,Khongsang,24.824111,93.474139,,,,Active
MAN/TAM/83H09/2009-10/MN-1,Manipur,Tamenglong,Tupul Slide,"Tupul (Along NH-53, Juncture of Tupul & Ijai Rivers)",24.792333,93.658222,,,,Reactivated
MN/KAN/83L02/2018/12,Manipur,Kangpokpi, ,Yairipok-Hongbei road,24.709111,94.198528,,,,Active
MAN/UKH/83K08/2015/020,Manipur,Ukhrul, ,"Siruhi village, Ukhrul Jessami road.",25.134611,94.460722,,,,Active
MAN/TAM/83G12/2017/0059,Manipur,Tamenglong, ,Dailong road,25.025639,93.537222,,,,Dormant
MAN/TAM/83G12/2017/0024,Manipur,Tamenglong, ,Govajang road,25.154917,93.711278,,,,Active
MN/KAM/83L09/2017/49,Manipur,Kamjong, ,Movailop,24.777306,94.601889,,,,Active
MAN/TAM/83G12/2017/0001,Manipur,Tamenglong, ,West of Govajang,25.167806,93.749222,,,,Active
MN/KAM/83L05/2018/20,Manipur,Kamjong, ,0.45 km E of Laushing Village,24.852,94.366303,,,,Reactivated
MN/CHU/83H10/2018/36,Manipur,Churachandpur, ,Loktak- Leimatak highway,24.600231,93.695483,,,,Active
MAN/SEN/83K03/2015/73,Manipur,Senapati, ,Along Thingba Khullen and Oinam raod,25.379878,94.214606,,,,Active
MN/CHU/83H10/2018/87,Manipur,Churachandpur, ,Agri linked road Nalon village,24.5465,93.671667,,,,Active
MAN/TAM/83G12/2017/0070,Manipur,Tamenglong, ,Dailong road,25.067306,93.604861,,,,Active
MN/TEN/83L03/2018/70,Manipur,Tengnoupal, ,1.5 km west of Modenphai,24.439842,94.184347,,,,Suspended
MN/CDL/83L04/2020/76,Manipur,Chandel, ,Near Firan Machet village,24.19,94.01,,,,Suspended
MN/UKH/83K11/2017/35,Manipur,Ukhrul, ,Poi,25.287611,94.5295,,,,Active
MN/UKH/83K11/2017/61,Manipur,Ukhrul, ,TusomC V,25.409417,94.599722,,,,Active
MN/TAM/83H05/2018/13,Manipur,Tamenglong, ,Neigailong Tamenglong,24.986444,93.494,,,,Active
MN/TAM/83H06/2018/9,Manipur,Tamenglong, ,Kaimai,24.728917,93.256389,,,,Active
