lat,lon,mfi,r_factor,mean_annual_rainfall_mm
25.819,94.757,236.53,834.33,1386.0
25.819,94.847,349.86,1306.93,1870.3
25.819,94.937,453.94,1740.92,2856.5
25.819,95.027,453.94,1740.92,2856.5
25.819,95.117,497.46,1922.43,3349.3
25.819,95.207,570.91,2228.72,3832.7
25.819,95.297,661.13,2604.93,4748.9
25.999,93.227,314.41,1159.11,2330.3
25.999,93.317,285.51,1038.59,2154.3
25.999,93.407,238.14,841.05,1894.7
25.999,93.497,240.95,852.75,1900.1
25.999,93.587,240.95,852.75,1900.1
25.999,93.677,243.01,861.37,1908.1
25.999,93.767,252.31,900.12,2044.1
25.999,93.857,228.85,802.29,1823.7
25.999,93.947,213.34,737.64,1485.1
25.999,94.037,266.19,957.99,1814.9
25.999,94.127,313.26,1154.31,2282.7
25.999,94.217,306.58,1126.44,2246.9
25.999,94.307,311.58,1147.28,2288.2
25.999,94.397,297.02,1086.59,2189.2
25.999,94.487,308.8,1135.68,2215.2
25.999,94.577,302.44,1109.18,2115.2
25.999,94.667,296.36,1083.81,2176.7
25.999,94.757,333.42,1238.36,2233.6
25.999,94.847,333.42,1238.36,2233.6
25.999,94.937,344.38,1284.05,1944.0
25.999,95.027,366.45,1376.09,2174.3
25.999,95.117,393.77,1490.03,2423.1
25.999,95.207,496.28,1917.47,3403.0
25.999,95.297,616.17,2417.42,3879.1
26.089,93.227,302.16,1108.01,2226.2
26.089,93.317,324.28,1200.25,2417.1
26.089,93.407,258.52,926.04,2034.8
26.089,93.497,323.23,1195.87,2579.3
26.089,93.587,279.74,1014.54,2313.0
26.089,93.677,208.04,715.54,1650.0
26.089,93.767,208.04,715.54,1650.0
26.089,93.857,221.17,770.28,1773.6
26.089,93.947,221.11,770.04,1660.4
26.089,94.037,239.27,845.77,1642.4
26.089,94.127,270.04,974.06,1973.0
26.089,94.217,303.54,1113.75,2268.8
26.089,94.307,268.92,969.38,2091.1
26.089,94.397,274.57,992.97,2215.4
26.089,94.487,306.71,1127.0,2151.6
26.089,94.577,314.51,1159.49,2260.2
26.089,94.667,316.71,1168.7,2063.0
26.089,94.757,347.16,1295.65,2306.5
26.089,94.847,340.23,1266.76,2293.6
26.089,94.937,305.34,1121.25,1779.2
26.089,95.027,355.95,1332.3,2039.3
26.089,95.117,420.76,1602.55,2533.7
26.089,95.207,466.66,1793.99,3267.8
26.089,95.297,466.66,1793.99,3267.8
26.179,93.227,316.07,1166.0,2280.6
26.179,93.317,313.74,1156.3,2317.6
26.179,93.407,336.99,1253.23,2629.7
26.179,93.497,362.2,1358.38,2937.0
26.179,93.587,329.25,1220.99,2727.5
26.179,93.677,302.32,1108.65,2532.6
26.179,93.767,271.87,981.7,2157.3
26.179,93.857,262.18,941.29,2096.9
26.179,93.947,238.77,843.67,1895.0
26.179,94.037,238.22,841.36,1847.9
26.179,94.127,251.25,895.69,1818.5
26.179,94.217,251.25,895.69,1818.5
26.179,94.307,271.49,980.12,1956.3
26.179,94.397,321.03,1186.7,2509.4
26.179,94.487,318.89,1177.78,2484.9
26.179,94.577,354.84,1327.69,2549.4
26.179,94.667,344.24,1283.47,2360.1
26.179,94.757,372.18,1400.0,2702.2
26.179,94.847,350.84,1311.0,2633.8
26.179,94.937,346.33,1292.21,2320.3
26.179,95.027,329.15,1220.54,2098.3
26.179,95.117,368.91,1386.34,2355.0
26.179,95.207,439.19,1679.41,3015.8
26.179,95.297,469.44,1805.58,3677.3
26.269,93.227,321.03,1186.69,2384.2
26.269,93.317,285.02,1036.52,2144.3
26.269,93.407,334.53,1242.98,2698.2
26.269,93.497,317.38,1171.49,2513.8
26.269,93.587,353.17,1320.7,2916.9
26.269,93.677,317.77,1173.08,2493.4
26.269,93.767,317.77,1173.08,2493.4
26.269,93.857,280.58,1018.02,2190.2
26.269,93.947,248.12,882.68,1926.7
26.269,94.037,255.43,913.13,2049.8
26.269,94.127,265.56,955.4,1978.9
26.269,94.217,265.56,955.4,1978.9
26.269,94.307,304.34,1117.1,2186.4
26.269,94.397,334.9,1244.51,2684.4
26.269,94.487,327.55,1213.9,2631.4
26.269,94.577,307.1,1128.61,2516.9
26.269,94.667,298.29,1091.85,2229.6
26.269,94.757,372.18,1400.0,2702.2
26.269,94.847,373.41,1405.14,2759.5
26.269,94.937,361.36,1354.86,2570.5
26.269,95.027,327.05,1211.8,2233.7
26.269,95.117,366.05,1374.44,2425.3
26.269,95.207,411.86,1565.45,2916.8
26.269,95.297,463.37,1780.27,3164.7
26.359,93.227,351.02,1311.75,2712.5
26.359,93.317,351.02,1311.75,2712.5
26.359,93.407,331.76,1231.44,2630.5
26.359,93.497,323.39,1196.55,2532.2
26.359,93.587,333.66,1239.37,2696.8
26.359,93.677,338.93,1261.32,2773.0
26.359,93.767,359.16,1345.69,2821.8
26.359,93.857,296.7,1085.23,2299.2
26.359,93.947,255.37,912.89,1923.3
26.359,94.037,271.71,981.03,2130.2
26.359,94.127,274.12,991.07,2175.8
26.359,94.217,260.95,936.15,1926.6
26.359,94.307,260.95,936.15,1926.6
26.359,94.397,310.32,1142.04,2399.4
26.359,94.487,307.1,1128.61,2516.9
26.359,94.577,348.67,1301.95,2669.9
26.359,94.667,302.67,1110.15,2246.5
26.359,94.757,367.43,1380.19,2645.5
26.359,94.847,373.41,1405.14,2759.5
26.359,94.937,338.48,1259.46,2479.8
26.359,95.027,321.73,1189.63,2307.3
26.359,95.117,339.89,1265.36,2359.4
26.359,95.207,392.5,1484.73,2854.9
26.359,95.297,463.37,1780.27,3164.7
26.449,93.227,406.61,1543.57,3154.5
26.449,93.317,406.61,1543.57,3154.5
26.449,93.407,409.86,1557.13,3086.0
26.449,93.497,449.24,1721.32,3299.7
26.449,93.587,460.81,1769.56,3395.7
26.449,93.677,447.2,1712.81,3379.8
26.449,93.767,465.78,1790.3,3488.2
26.449,93.857,421.55,1605.87,3178.0
26.449,93.947,330.23,1225.06,2519.0
26.449,94.037,351.78,1314.94,2651.9
26.449,94.127,302.85,1110.88,2299.7
26.449,94.217,265.29,954.27,2042.8
26.449,94.307,274.69,993.48,2137.8
26.449,94.397,320.11,1182.87,2428.6
26.449,94.487,354.45,1326.07,2694.4
26.449,94.577,337.27,1254.43,2597.5
26.449,94.667,333.39,1238.24,2509.2
26.449,94.757,340.37,1267.36,2563.5
26.449,94.847,338.04,1257.65,2533.5
26.449,94.937,322.81,1194.13,2477.9
26.449,95.027,357.8,1340.05,2668.1
26.449,95.117,345.21,1287.52,2698.1
26.449,95.207,338.51,1259.57,2691.6
26.449,95.297,345.87,1290.28,2643.5
