Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
NAG/TUN/83J16/2016/0041,Nagaland,Tuensang, ,5 km E of New Chengmai Village,26.231694,94.941056,,,,Reactivated
NG/KOH/83K2/2015/133,Nagaland,Kohima, ,"Army cantonement, Kohima Town",25.669,94.114,,,,Suspended
NAG/KOH/83K1/2016/071,Nagaland,Kohima, ,Phekerkrie,25.875639,94.0395,,,,Active
NG/KOH/83K2/2015/113,Nagaland,Kohima, ,Between Lerie and Pfiichama along Lerie-Pfiichama approach road,25.649,94.121,,,,Suspended
NAG/ZUN/83K5/2016/024,Nagaland,Zunheboto, ,Mukhalimi,25.869194,94.324889,,,,Reactivated
NG/KOH/83K2/2015/229,Nagaland,Kohima, ,Jakhama village,25.585,94.137,,,,Suspended
NAG/KOH/83K1/2016/072,Nagaland,Kohima, ,Phekerkrie,25.839722,94.050333,,,,Active
NG/MOK/83J10/2017/20,Nagaland,Mokukchung, ,Anaki C village,26.719056,94.657528,,,,Active
NG/PHE/83K14/2017/76,Nagaland,Phek, ,Phor village to Kuzato,25.721861,94.780667,,,,Active
NAG/KOH/83K1/2016/120,Nagaland,Kohima, ,Tseminuyu,25.961917,94.216194,,,,Active
NG/MON/83N01/2017/71,Nagaland,Mon, ,Hongphoi village,26.777056,95.020361,,,,Inactive
NAG/WOK/83J/4/2016/0041,Nagaland,Wokha, ,Doyang to Sanis Road,26.204472,94.214861,,,,Active
NA/DIM/83G13/2020/18,Nagaland,Dimapur, ,0.5 km North of Piphema,25.76,93.96,,,,Suspended
NG/PHE/83K14/2017/37,Nagaland,Phek, ,Shillio to Avakhung,25.597167,94.842028,,,,Active
NG/KOH/83K2/2015/114,Nagaland,Kohima, ,Viswema terrace fields,25.552,94.149,,,,Suspended
NG/KOH/83K2/2015/215,Nagaland,Kohima, ,Rusoma village,25.703,94.137,,,,Suspended
NAG/WOK/83J/4/2016/0064,Nagaland,Wokha, ,Yekhum village,26.169389,94.24675,,,,Suspended
NAG/WOK/83J/4/2016/0088,Nagaland,Wokha, ,1 km NW of Pyotchu,26.055011,94.044322,,,,Active
NG/MON/83N01/2017/20,Nagaland,Mon, ,PhuktongTuimei rd,26.775889,95.072694,,,,Active
NG/PER/83G14/2015/11,Nagaland,Peren, ,ESE of Benreu,25.571,93.871,,,,Suspended
NAG/KOH/83K1/2016/117,Nagaland,Kohima, ,Phughoboto,25.880861,94.300667,,,,Active
NG/MON/83N01/2017/11,Nagaland,Mon, ,2km W of Longphou,26.759167,95.110972,,,,Active
NG/MON/83N2/2017/11,Nagaland,Mon, ,Near Mon Town,26.724278,95.042833,,,,Active
