Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
SKM/SS/78A07/2015/286,Sikkim,South Sikkim, ,Gangla village Road,27.272056,88.394139,,,,Active
SKM/WS/78A08/2015/349,Sikkim,West Sikkim, ,legship-Sikkip Road,27.204694,88.32375,,,,Active
SKM/NS/78A10/2017/189,Sikkim,North Sikkim, ,NH,27.552861,88.622306,,,,Active
SKM/NS/78A11/2015/80,Sikkim,North Sikkim, ,Gangtok-Chungthang Road,27.378444,88.541667,,,,Suspended
SKM/ES/78A11/2015/14,Sikkim, East Sikkim, ,-,27.220861,88.657111,,,,Active
SKM/ES/78A11/2015/99,Sikkim, East Sikkim, ,Namok Road,27.329472,88.648917,,,,Active
SKM/WS/78A08/2015/264,Sikkim,West Sikkim, ,Namchi-Assangthang Road,27.144167,88.311083,,,,Suspended
SKM/WS/78A08/2015/317,Sikkim,West Sikkim, ,Melli-Jorethang Road,27.126472,88.31675,,,,Active
 ,Sikkim,East Sikkim,,,27.28119444,88.58952778,Debris,Slide,Slide occurred between 11-12 June; 2022.,New Slide
SKM/SS/78A08/2015/314,Sikkim,South Sikkim, ,Melli-Rabikhola Road,27.124778,88.445083,,,,Suspended
SKM/SS/78A08/2015/320,Sikkim,South Sikkim, ,Namchi-Kitam Road,27.122611,88.343389,,,,Active
SKM/ES/78A12/2015/104,Sikkim, East Sikkim, ,Rangpo-Rorathang Road,27.190067,88.596483,,,,Dormant
SKM/NS/78A10/2017/190,Sikkim,North Sikkim, ,NH,27.547111,88.602667,,,,Active
SKM/NS/78A10/2017/186,Sikkim,North Sikkim, ,NH,27.554889,88.654444,,,,Active
SKM/NS/78A03/2017/43,Sikkim,West Sikkim,Hee Sapong,SH,27.251722,88.182972,,,,Active
SKM/WS/78A08/2015/383,Sikkim,West Sikkim, ,Jorthang-Malbasey Road,27.128972,88.262111,,,,Active
 ,Sikkim,North District,,,27.39305556,88.63527778,Rock,Slide,Date of initiation: Mid-July 2018 subsequent reactivations (02/08/2018) and (24/05/2020).,Reactivated
SKM/NS/78A10/2017/184,Sikkim,North Sikkim, ,NH,27.550917,88.646056,,,,Active
SKM/SS/78A08/2015/205,Sikkim,South Sikkim, ,Kholaghari village Road,27.215056,88.393306,,,,Abandoned
SKM/NS/78A03/2017/57,Sikkim,West Sikkim, ,SH,27.33075,88.216333,,,,Active
SKM/NS/78A04/2017/88,Sikkim,West Sikkim, ,SH,27.219444,88.234361,,,,Active
SKM/NS/78A03/2017/15,Sikkim,West Sikkim, ,SH,27.296028,88.10175,,,,Active
SKM/WS/78A08/2015/374,Sikkim,West Sikkim, ,Sangadorji-Bum Road,27.191917,88.2885,,,,Active
SKM/SS/78A08/2015/248,Sikkim,South Sikkim, ,Pachekhani-Melli Road,27.096444,88.433375,,,,Active
SKM/WS/78A07/2015/359,Sikkim,West Sikkim, ,Legship-Geyzing Road,27.284139,88.264889,,,,Active
SKM/NS/78A11/2015/83,Sikkim,North Sikkim, ,Dikchu-Mangshila Road,27.411306,88.516611,,,,Active
SKM/NS/78A10/2017/177,Sikkim,North Sikkim,Naga,NH,27.531667,88.606333,,,,Active
