Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History_Date,Activity
MZ/SER/84A16/2018/21,Mizoram,Serchhip, ,Serchhip-Keitum section,23.243479,92.904846,,,,Inactive
"MZ/LAW/84B14/2018/29
",Mizoram,"Lawngtlai
", ,NH 54,22.503,92.889,,,,Active
MZ/SER/84A15/2016/25,Mizoram,Serchhip, ,"About 200m West of Stone Crusher, NH-54 Aizawl-Serchhip-Lunglei Road",23.281521,92.868857,,,,Active
MZ/SAI/84F04/2020/16,Mizoram,Saiha,South of Laki village slide 3,South of Laki village,22.16,93,,,,Suspended
MZ/AZL/84A13/2016/03,Mizoram,Aizawl,Kepran slide,Kepran village on NH 150,23.94325,92.933611,,,,Active
MZ/CHA/84E05/2017/9,Mizoram,Champhai, ,KawlbemVaikhawtlang section,23.870445,93.353859,,,,Active
MZ/CHA/83H04/2017/1,Mizoram,Champhai, ,KhawdungseiChiahpui,24.023916,93.194336,,,,Reactivated
MZ/LUN/84B10/2020/63,Mizoram,Lunglei,Raillalung slide 2,Outside Raillalung,22.71,92.7,,,,Active
MZ/KOL/83D15/2020/12,Mizoram,Kolasib, Vairengte slide,Vairengte to Phainuam road section (Near Vairengte),24.48,92.76,,,,Suspended
MZ/KOL/83D11/2020/1,Mizoram,Kolasib,Serlui B -Bilkkhawtlir slide,Serlui B -Bilkkhawtlir road sectin,24.34,92.74,,,,Active
MIZ/AIZ/84A13/2016/26,Mizoram,Aizawl, ,~7.3 km S of Khawruhlian  towards Sesawng on NH 150,23.885639,92.857861,,,,Active
MZ/CHA/84E02/2017/14,Mizoram,Champhai, ,5.2 km N of Rabung,23.701047,93.190913,,,,Active
MZ/LUN/84B13/2018/7,Mizoram,Lunglei, ,Darzo-S. Vanlaphai,22.78916,92.981087,,,,Active
MZ/SAI/84F03/2020/24,Mizoram,Saiha,Muriskata village slide 1,"Muriskata village, Tlabung on Karnaphuli River bank",22.39,93.11,,,,Stabilized
MZ/AIZ/84A14/2015/80,Mizoram,Aizawl, ,Tlangnuam village  area on NH-54,23.716025,92.854306,,,,Active
MZ/LUN/84B13/2018/98,Mizoram,Lunglei, ,Zohnuai-Junction from Serkawn,22.903807,92.757401,,,,Active
MZ/CHA/84E03/2017/62,Mizoram,Champhai, ,South of Khawhai,23.370167,93.120444,,,,Active
MZ/AIZ/83D16/2016/126,Mizoram,Aizawl, ,towards Tuival R.,24.197817,92.993923,,,,Active
