sample_id,lat,lon,elevation,slope_deg,aspect_deg,drainage_density,lithology,landuse,mean_annual_rainfall_mm,label,district,date,landslide_type,area_m2,curvature,distance_to_drainage,terrain_ruggedness
SKM/ES/78A11/2015/416,27.340917,88.628389,1995.6,25.0,158.92,0.0,,built-up,5601.3,1,East Sikkim,,Slide,1000,-0.006736,605.8,34.59
SKM/ES/78A11/2015/125,27.257139,88.697556,1398.6,23.21,156.61,0.2353,,forest,4392.0,1,East Sikkim,,Slide,450,0.011078,88.2,32.96
SKM/ES/78A11/2015/126,27.258222,88.704778,1225.3,21.83,102.22,0.0,,forest,4380.6,1,East Sikkim,,Slide,1000,0.0091,411.4,29.37
SKM/ES/78A11/2015/128,27.25475,88.711,1029.2,39.82,231.39,0.2,,forest,4413.0,1,East Sikkim,,Slide,200,0.012006,65.7,61.04
SKM/ES/78A12/2015/102,27.18815,88.562083,453.4,28.59,181.52,0.0353,,forest,3850.2,1,East Sikkim,,Slide,30000,0.001881,249.4,38.81
SKM/NS/78A11/2015/77,27.409667,88.543722,1539.2,43.68,195.57,0.0,,forest,6519.2,1,North Sikkim,,Fall,375,0.01256,383.2,69.6
SKM/NS/78A03/2017/26,27.280667,88.190861,1568.3,33.66,134.66,0.0824,,grassland,5562.0,1,West Sikkim,,Slide,20,0.007822,106.0,47.74
 ,27.247222,88.606667,1282.6,27.66,271.75,0.0,,built-up,4759.1,1,East Sikkim,Reactivated in September 2021.,,,0.000446,464.7,37.4
SKM/SS/78A08/2015/277,27.160056,88.423028,1579.6,41.37,166.37,0.0,,built-up,4172.4,1,South Sikkim,,Slide,7500,0.004894,399.7,63.46
SKM/ES/78A11/2015/64,27.384444,88.639611,1652.4,32.24,311.21,0.1529,,forest,5602.1,1,East Sikkim,,Slide,750,0.007461,171.4,46.11
SKM/SS/78A08/2015/263,27.177167,88.369611,1570.7,40.47,303.34,0.0,,forest,4356.9,1,South Sikkim,,Slide,2000,-0.029578,278.8,67.03
SKM/SS/78A08/2015/280,27.169583,88.462361,1648.4,24.05,115.07,0.0,,forest,4290.4,1,South Sikkim,,Slide,6000,0.013649,973.4,34.33
SKM/NS/78A10/2017/211,27.735278,88.54925,2731.1,40.09,73.14,0.0706,,grassland,4374.9,1,North Sikkim,,Slide,1200,-0.004937,236.9,60.56
SKM/SS/78A07/2015/286,27.272056,88.394139,1037.0,29.04,132.11,0.0941,,forest,5317.1,1,South Sikkim,,Slide,4800,-0.007547,242.3,40.19
SKM/WS/78A08/2015/349,27.204694,88.32375,456.1,39.53,98.12,0.2824,,built-up,4025.2,1,West Sikkim,,Slide,6000,0.006482,92.9,60.39
