lon,lat,elevation_m,slope_deg,aspect_deg,distance_to_stream_m,landcover_class,soil_erodibility_k,rusle_ls_factor,rusle_c_factor,rainfall_erosivity_r,soil_loss_tha_yr,label
93.243069,23.473611,896.422,26.537,8.564,257.618,30,0.128,21.051,0.05,926.24,125.019,1
93.279722,23.157667,1421.017,21.163,151.099,42.936,10,0.126,12.093,0.001,926.24,1.411,1
93.100523,23.56952,643.313,37.038,105.242,85.873,10,0.132,17.83,0.001,926.24,2.187,1
92.602028,23.682611,1082.977,31.385,228.713,221.028,10,0.122,27.958,0.001,867.28,2.958,1
92.85,24.35,377.553,33.227,202.051,244.774,10,0.125,18.542,0.001,952.85,2.221,1
92.63,22.26,182.862,10.363,322.872,121.442,10,0.124,2.808,0.001,867.28,0.302,1
92.608917,23.17411,750.464,16.614,350.937,698.952,10,0.121,8.93,0.001,867.28,0.933,1
92.744614,23.11375,837.883,31.544,34.322,869.924,30,0.125,17.458,0.05,797.4,86.887,1
93.0,22.17,1238.655,26.922,180.056,803.838,30,0.127,16.233,0.05,926.24,95.409,1
92.831766,23.28328,588.969,41.597,217.851,455.408,30,0.128,20.233,0.05,797.4,103.665,1
92.767346,24.00977,664.175,31.993,144.438,665.859,30,0.129,15.091,0.05,797.4,77.276,1
93.072462,23.555561,978.881,46.129,308.07,700.927,10,0.131,26.486,0.001,926.24,3.208,1
92.877998,22.462999,683.649,39.504,197.903,365.589,10,0.125,22.51,0.001,926.24,2.614,1
92.771361,24.024289,849.373,16.091,59.3,517.021,10,0.129,4.926,0.001,797.4,0.504,1
93.238127,23.254263,1132.892,36.534,278.986,833.672,10,0.125,33.267,0.001,926.24,3.876,1
93.08682,23.605611,1133.822,32.191,57.175,794.611,10,0.131,15.199,0.001,926.24,1.844,1
93.310454,23.496347,1523.094,13.904,48.182,558.172,10,0.127,10.229,0.001,817.91,1.063,1
92.796134,24.091664,901.014,28.954,334.157,692.992,10,0.129,10.171,0.001,797.4,1.047,1
92.65703,23.92294,94.838,25.084,196.975,60.721,10,0.132,18.641,0.001,876.07,2.159,1
92.49,22.87,161.113,22.647,161.378,109.466,10,0.127,7.553,0.001,780.84,0.748,1
92.761489,23.708217,845.705,38.5,253.707,388.805,10,0.132,35.257,0.001,797.4,3.728,1
93.384639,23.375972,872.775,33.319,115.208,279.91,10,0.131,22.818,0.001,730.42,2.189,1
93.260445,23.876139,1615.256,14.924,318.778,475.218,10,0.127,4.477,0.001,893.33,0.508,1
93.340668,23.936806,898.398,25.142,39.96,540.554,30,0.129,14.945,0.05,796.04,76.987,1
92.79,24.39,47.925,18.272,266.902,96.008,10,0.127,8.973,0.001,797.4,0.911,1
93.207362,23.597919,1089.362,30.894,61.243,425.048,30,0.136,10.979,0.05,926.24,69.076,1
92.893059,22.53544,792.22,19.616,41.335,151.803,50,0.124,14.519,0.01,926.24,16.707,1
92.945618,24.175865,504.433,28.485,343.982,354.062,10,0.13,15.48,0.001,1008.45,2.032,1
92.882004,22.683001,876.844,35.65,135.591,583.997,10,0.124,17.083,0.001,926.24,1.964,1
93.3845,23.397861,1054.956,15.752,22.611,429.363,10,0.129,4.795,0.001,730.42,0.451,1
92.877444,23.869861,963.248,20.583,21.699,583.207,50,0.137,12.774,0.01,743.918,12.984,1
92.853889,23.087177,703.843,18.943,42.623,602.64,10,0.123,11.516,0.001,952.85,1.352,1
92.6,22.41,137.061,6.347,278.527,0.0,10,0.123,3.728,0.001,867.28,0.399,1
93.384944,23.382417,983.458,20.041,29.011,312.581,10,0.131,12.357,0.001,730.42,1.185,1
92.724503,22.886652,633.55,33.271,184.743,517.021,10,0.123,20.835,0.001,876.07,2.232,1
92.948994,24.246076,700.325,1.721,349.479,394.687,10,0.129,0.274,0.001,1008.45,0.036,1
92.748711,22.872849,1009.391,34.099,269.667,738.704,10,0.119,19.101,0.001,797.4,1.813,1
92.868053,23.719694,728.214,36.023,23.242,394.687,10,0.134,32.745,0.001,952.85,4.175,1
92.6985,23.652972,911.408,37.812,320.928,462.438,10,0.13,18.244,0.001,876.07,2.069,1
92.708145,22.959173,736.757,32.024,43.312,711.37,10,0.122,15.107,0.001,876.07,1.622,1
92.77647,24.053275,983.922,34.805,286.898,850.095,30,0.128,12.599,0.05,797.4,63.963,1
92.955048,22.844219,1101.315,18.814,103.131,395.853,10,0.125,14.995,0.001,926.24,1.745,1
92.963806,24.194252,321.584,9.906,268.133,0.0,10,0.13,6.625,0.001,1008.45,0.872,1
92.8589,23.321765,1030.779,25.716,109.181,738.704,10,0.13,11.64,0.001,952.85,1.441,1
92.66,22.35,128.708,12.528,75.999,171.745,10,0.128,3.582,0.001,876.07,0.402,1
93.355925,23.603629,1365.152,40.426,10.524,531.093,10,0.128,19.624,0.001,817.91,2.047,1
92.854946,23.497919,919.469,22.165,229.142,388.805,50,0.132,9.705,0.01,952.85,12.234,1
92.825842,23.732867,533.329,34.915,205.386,656.799,10,0.13,19.623,0.05,797.4,101.947,1
93.088782,23.607124,1105.538,31.596,131.663,625.899,10,0.132,19.625,0.001,926.24,2.399,1
93.315306,23.640073,1686.458,24.096,305.023,519.689,10,0.127,10.754,0.001,817.91,1.12,1
93.371971,23.846056,767.808,33.137,295.511,271.553,30,0.127,11.911,0.05,796.04,60.414,1
93.029927,23.653812,458.785,32.341,324.925,121.442,10,0.135,11.581,0.001,929.52,1.443,1
92.803968,24.09176,648.649,29.538,77.201,610.239,10,0.13,16.161,0.001,797.4,1.673,1
92.873001,22.459,662.984,28.658,332.429,451.342,10,0.126,25.118,0.05,926.24,146.53,1
92.73,22.46,914.855,18.022,211.062,825.896,10,0.122,7.499,0.001,926.24,0.849,1
93.041779,23.808111,836.803,5.51,57.817,355.361,10,0.137,1.242,0.001,965.041,0.164,1
92.50975,23.208694,726.055,18.481,234.407,288.025,10,0.122,14.663,0.001,780.84,1.396,1
93.299727,23.647667,1720.077,31.521,149.69,394.687,30,0.127,14.832,0.001,817.91,1.542,1
92.679802,23.196638,1014.006,17.921,108.647,738.704,10,0.125,5.643,0.001,876.07,0.615,1
92.910972,23.839417,1150.694,14.459,271.115,407.329,10,0.131,5.675,0.001,912.716,0.68,1
92.63,22.27,164.537,20.829,285.077,184.676,10,0.127,12.964,0.001,867.28,1.417,1
92.729332,22.969294,624.914,12.731,304.355,431.504,10,0.122,3.656,0.001,876.07,0.391,1
92.92083,22.466166,695.517,35.783,180.508,576.85,10,0.125,22.635,0.001,926.24,2.621,1
92.750557,22.872238,1064.53,46.426,221.308,719.743,50,0.119,29.908,0.01,797.4,29.921,1
92.704918,23.053806,892.305,35.955,21.412,644.044,10,0.123,13.071,0.001,876.07,1.403,1
92.36,24.12,119.201,18.185,318.488,303.605,10,0.126,7.584,0.001,814.07,0.78,1
92.74826,23.150719,878.012,30.627,43.444,731.179,10,0.125,14.341,0.001,797.4,1.421,1
93.351351,23.607873,1396.772,40.057,18.01,580.037,10,0.126,30.154,0.001,817.91,3.121,1
92.709806,23.9865,620.816,28.125,76.079,497.95,10,0.129,9.825,0.001,876.07,1.11,1
92.546501,23.249056,1171.69,27.307,152.375,369.352,10,0.121,9.484,0.001,780.84,0.896,1
93.154836,23.411942,1095.832,33.308,112.557,328.399,10,0.131,11.982,0.001,926.24,1.458,1
92.595278,23.637472,1207.884,33.948,151.347,559.821,10,0.126,25.076,0.001,867.28,2.742,1
92.692389,23.717028,800.872,38.137,243.519,494.234,10,0.13,28.579,0.001,876.07,3.252,1
92.775423,24.043492,958.452,30.777,262.808,924.876,10,0.127,19.032,0.001,797.4,1.929,1
92.922461,24.037395,903.553,23.372,66.585,547.332,10,0.132,16.076,0.001,1008.45,2.135,1
92.720192,23.005587,385.697,28.447,231.429,67.888,10,0.124,24.898,0.001,876.07,2.686,1
92.891235,22.841455,536.595,33.105,230.951,651.868,10,0.128,20.715,0.001,926.24,2.449,1
92.508827,22.913624,132.004,15.137,184.013,184.676,10,0.127,4.559,0.001,780.84,0.452,1
93.306778,23.304833,1539.357,20.599,191.868,163.497,10,0.125,12.786,0.001,817.91,1.314,1
92.927345,22.920202,468.706,23.602,66.497,412.948,10,0.126,19.135,0.001,926.24,2.239,1
92.798134,23.242828,918.812,38.713,68.967,783.514,10,0.127,18.722,0.001,797.4,1.892,1
93.019874,23.685795,639.23,26.392,75.915,448.268,10,0.135,9.103,0.001,929.52,1.141,1
93.145889,23.124069,1246.195,27.659,244.609,880.456,10,0.124,18.333,0.05,926.24,105.156,1
92.820023,23.125311,863.047,34.62,12.95,547.332,10,0.124,16.525,0.001,797.4,1.638,1
92.68,22.67,411.924,28.276,119.575,394.687,10,0.124,13.047,0.001,876.07,1.436,1
93.2615,23.453389,762.798,31.089,284.119,42.936,10,0.126,14.594,0.001,926.24,1.707,1
93.384281,23.397884,1054.956,15.752,22.611,429.363,10,0.129,4.795,0.001,730.42,0.451,1
