latitude,longitude,district,label,elevation,slope,curvature,distance_to_drainage,land_cover_class,landcover_bare_sparse_vegetation,landcover_built_up,landcover_cropland,landcover_grassland,landcover_tree_cover,landcover_water
26.1755,91.76175,Kamrup (Metro),1,59.4663200378418,8.562259674072266,-0.7185308933258057,568.2198962912189,tree_cover,0,0,0,0,1,0
24.64,92.98,Cachar,1,28.32863998413086,0.3098767399787903,-0.024854928255081177,81.17427089874556,tree_cover,0,0,0,0,1,0
26.298389,93.21625,Karbi Anglong,1,189.99130249023438,22.92870330810547,0.688490629196167,64.17389586088981,tree_cover,0,0,0,0,1,0
25.137,93.018,Dima Hasao,1,736.660400390625,12.706568717956543,1.0917234420776367,599.2618734317157,tree_cover,0,0,0,0,1,0
25.01,92.73,Cachar,1,86.93351745605469,30.027055740356445,-0.03407606482505798,57.398877410376805,tree_cover,0,0,0,0,1,0
26.38397328455594,90.59871882188442,Bongaigaon,0,50.05270767211914,1.111087441444397,0.2961805462837219,502.0351394970446,tree_cover,0,0,0,0,1,0
26.3759112455886,90.58500708807802,Bongaigaon,0,44.797183990478516,3.4840431213378906,0.04478944465517998,292.6779959738314,tree_cover,0,0,0,0,1,0
26.369227666943743,90.57932936823599,Bongaigaon,0,41.96898651123047,3.7634775638580322,-0.4214083254337311,174.57187039651046,tree_cover,0,0,0,0,1,0
24.954618758401402,92.74647905139123,Cachar,0,19.62777328491211,0.48168742656707764,-0.05446723848581314,81.17427089874556,cropland,0,0,1,0,0,0
24.936269117431664,93.05951823034474,Cachar,0,80.86754608154297,15.838667869567871,0.9721238017082214,519.7689414476977,tree_cover,0,0,0,0,1,0
24.976625413916242,93.03744064988803,Cachar,0,93.0174331665039,5.72467041015625,-1.4075615406036377,373.09270316744926,tree_cover,0,0,0,0,1,0
24.54276325733119,92.85111946143465,Cachar,0,56.224754333496094,12.696516036987305,0.7512972354888916,386.1114587016407,tree_cover,0,0,0,0,1,0
24.56608783665418,92.9297264999862,Cachar,0,46.922210693359375,6.715106010437012,0.4686329662799835,246.8819067235833,tree_cover,0,0,0,0,1,0
24.644848989769535,92.84347147706454,Cachar,0,24.629776000976562,3.49117112159729,-0.4708153009414673,382.8982700336085,tree_cover,0,0,0,0,1,0
24.967180372357138,93.02092111459795,Cachar,0,107.43762969970703,17.561410903930664,-0.7821507453918457,57.398877410376805,tree_cover,0,0,0,0,1,0
