lon,lat,elevation_m,slope_deg,aspect_deg,distance_to_stream_m,landcover_class,soil_erodibility_k,rusle_ls_factor,rusle_c_factor,rainfall_erosivity_r,soil_loss_tha_yr,label
94.681,27.688583,274.278,27.148,340.395,62.571,10,0.12,18.665,0.001,1885.065,4.213,1
95.855884,28.450374,869.216,37.775,251.624,111.931,10,0.122,17.639,0.001,2107.782,4.537,1
95.035722,28.626972,493.494,28.424,271.617,451.207,50,0.121,20.974,0.001,2319.181,5.928,1
94.874715,28.830097,557.413,48.232,87.024,62.571,10,0.125,44.597,0.001,2468.833,13.737,1
95.987092,27.299744,354.032,18.294,162.736,356.162,10,0.122,12.208,0.001,1346.425,2.005,1
92.966222,27.555194,846.287,33.208,314.978,338.116,10,0.13,15.25,0.001,3092.019,6.13,1
95.716317,27.190295,578.0,37.081,94.822,187.714,10,0.117,20.323,0.001,1491.934,3.517,1
95.982181,28.315484,962.94,31.36,247.699,510.636,10,0.123,27.932,0.001,2564.761,8.795,1
93.615667,27.207583,575.497,30.061,173.097,250.285,10,0.125,24.784,0.001,1489.843,4.654,1
93.467306,27.866083,880.789,35.591,66.497,237.441,30,0.129,12.507,0.05,2172.774,175.393,1
94.778642,27.839817,491.923,24.664,204.751,316.588,10,0.122,20.962,0.001,2031.645,5.211,1
95.224833,28.147806,734.789,41.216,356.517,115.376,10,0.124,19.393,0.001,2048.223,4.939,1
96.55728,28.26814,1622.212,48.923,266.15,504.465,10,0.129,30.482,0.001,1811.134,7.137,1
96.457818,28.089549,953.596,44.646,185.514,88.489,10,0.122,41.274,0.001,2321.554,11.728,1
96.33392,27.91636,1161.415,35.873,141.546,463.196,10,0.126,19.583,0.001,2159.711,5.299,1
93.050889,27.297167,1344.254,17.67,235.078,650.861,10,0.129,5.366,0.001,1769.963,1.217,1
95.549313,26.904294,1523.488,36.303,100.185,576.878,10,0.125,26.187,0.001,1566.082,5.104,1
95.240639,28.169611,244.455,38.392,182.146,139.913,10,0.125,25.906,0.001,2101.495,6.751,1
95.053306,28.615028,627.966,20.363,276.105,176.978,10,0.117,9.945,0.001,2321.028,2.708,1
93.050917,27.302861,1201.388,27.6,86.579,397.709,30,0.126,16.189,0.05,1782.161,181.934,1
95.610767,28.269062,482.822,25.783,80.88,380.606,10,0.119,8.566,0.001,2045.963,2.085,1
96.41208,27.98728,384.5,0.202,243.807,0.0,80,0.122,0.042,0.0,2332.414,0.0,1
94.987136,28.342551,420.26,38.573,72.161,79.147,10,0.124,35.331,0.001,2013.798,8.831,1
96.54264,28.25203,1881.954,33.31,238.197,520.508,10,0.131,11.598,0.001,1877.605,2.834,1
93.978611,27.833306,673.129,29.098,205.039,55.965,10,0.13,23.847,0.001,1370.155,4.234,1
95.890362,28.775779,1240.622,33.126,29.156,195.879,10,0.129,15.207,0.001,1593.286,3.122,1
92.999556,27.574306,543.022,36.285,335.534,79.147,10,0.131,12.782,0.001,2928.541,4.901,1
95.863907,28.852213,1355.23,37.229,196.913,62.571,10,0.13,20.413,0.001,1537.646,4.095,1
95.284891,28.099705,204.561,41.031,12.033,139.913,10,0.129,25.466,0.001,2064.987,6.725,1
92.133778,27.405861,2025.247,34.209,189.469,176.978,50,0.13,30.884,0.01,1143.176,45.766,1
93.739167,27.16,207.761,21.645,131.737,478.987,50,0.125,17.856,0.001,1544.449,3.433,1
94.569467,28.014765,559.801,26.383,25.234,39.574,10,0.121,8.807,0.001,2091.089,2.232,1
95.285971,28.143839,185.412,34.183,216.695,158.294,10,0.0,22.743,0.001,2230.201,1.107,1
94.983464,28.265963,332.044,32.745,87.176,55.965,10,0.125,17.647,0.05,1992.388,219.389,1
96.444944,27.453197,598.405,42.468,291.244,163.166,10,0.117,15.171,0.001,1509.19,2.687,1
95.275122,28.150741,219.829,25.016,225.166,253.394,10,0.0,21.326,0.001,2199.647,2.782,1
95.27268,28.099376,255.689,7.986,143.566,27.983,10,0.121,5.018,0.001,2072.219,1.263,1
91.973083,27.591417,2618.221,33.039,145.649,395.735,10,0.131,26.396,0.001,960.932,3.321,1
92.56175,27.153056,1646.1,36.423,87.31,434.408,50,0.125,16.937,0.01,1925.435,40.897,1
92.391694,27.293806,1784.281,34.299,68.301,83.948,30,0.129,18.612,0.05,2050.452,246.828,1
94.971636,28.720187,413.007,19.469,174.909,27.983,10,0.124,11.535,0.001,2153.949,3.078,1
93.745,27.239333,399.195,14.659,170.045,197.868,50,0.127,7.375,0.05,1682.735,78.526,1
95.240833,28.386722,662.416,21.766,289.553,27.983,50,0.119,17.979,0.001,2141.649,4.584,1
95.868513,28.763802,1300.489,30.472,227.175,187.714,30,0.13,19.906,0.05,1645.839,212.338,1
96.33156,27.91886,1303.925,32.226,220.451,729.699,10,0.125,14.73,0.001,2152.874,3.969,1
92.537444,27.1105,1215.302,31.915,86.583,83.948,10,0.128,28.509,0.001,1830.385,6.656,1
96.50075,28.06356,532.61,29.812,271.773,100.893,10,0.123,26.321,0.001,2204.204,7.135,1
94.702667,27.662194,156.883,16.656,216.474,753.457,50,0.119,7.729,0.01,1849.593,17.002,1
95.239333,28.013167,254.437,22.754,207.118,150.691,10,0.12,11.41,0.001,1872.415,2.562,1
95.781741,28.252507,749.587,39.941,266.945,195.879,30,0.12,24.739,0.05,2113.554,313.733,1
94.673833,27.70625,273.712,6.179,292.79,415.993,10,0.12,3.203,0.001,1906.492,0.73,1
95.223917,28.169583,310.763,36.749,205.873,451.207,50,0.122,33.485,0.01,2050.975,83.805,1
93.055472,27.325861,657.755,34.23,291.622,312.856,10,0.133,15.789,0.001,1928.807,4.04,1
94.568456,28.013577,582.019,10.748,294.709,176.978,10,0.121,7.357,0.001,2091.205,1.863,1
95.37696,26.93529,429.854,26.428,44.325,395.735,10,0.121,22.794,0.001,1316.399,3.646,1
95.546273,28.249718,603.161,46.793,144.832,163.166,30,0.121,29.177,0.05,2194.321,388.505,1
92.965556,27.571111,583.851,17.709,213.44,0.0,10,0.131,13.897,0.001,3118.861,5.67,1
95.805469,28.193864,744.758,38.244,272.767,563.141,10,0.119,25.796,0.001,2143.324,6.58,1
94.73075,27.794333,796.363,31.472,358.053,83.948,10,0.123,20.674,0.001,2011.929,5.116,1
95.828278,28.498464,760.156,36.999,302.662,391.758,10,0.123,33.74,0.001,2137.879,8.875,1
94.947651,28.287317,306.059,40.932,43.623,83.948,10,0.124,22.639,0.001,1967.82,5.523,1
95.541082,28.227891,499.428,25.546,138.366,239.084,50,0.123,14.748,0.01,2124.459,38.462,1
95.922731,28.242782,2658.579,25.756,38.475,753.457,30,0.122,13.276,0.001,2482.453,4.069,1
93.014639,27.422111,638.428,34.488,314.036,364.85,10,0.13,18.729,0.001,2479.323,6.044,1
95.84071,28.487904,742.227,31.175,200.234,230.751,10,0.123,27.74,0.001,2123.011,7.223,1
92.982806,27.543778,643.326,33.922,208.276,79.147,30,0.133,22.545,0.05,2994.918,448.825,1
96.449538,28.100284,1280.917,34.233,210.273,27.983,60,0.122,28.819,0.45,2340.507,3697.719,1
93.980861,27.840167,616.199,39.696,5.756,62.571,10,0.129,21.903,0.001,1392.445,3.938,1
91.880444,27.591528,2770.423,20.24,115.779,316.588,30,0.126,16.428,0.05,1056.014,109.862,1
95.865649,28.760937,1287.246,45.415,289.493,250.285,30,0.13,25.235,0.05,1654.3,270.624,1
93.123139,27.215611,1270.199,23.712,137.151,395.735,10,0.134,12.003,0.001,1812.716,2.905,1
95.261822,26.736494,1334.852,36.926,65.571,448.597,10,0.125,22.694,0.001,1308.082,3.695,1
95.854029,28.454481,832.038,42.606,258.825,167.896,30,0.123,38.238,0.001,2093.097,9.829,1
95.06325,28.550472,743.337,20.908,341.059,419.74,10,0.122,12.607,0.001,2383.305,3.661,1
95.168667,28.540139,868.322,16.846,30.758,395.735,10,0.119,5.052,0.001,2295.914,1.382,1
95.854018,28.455284,845.174,44.287,261.127,139.913,30,0.123,30.17,0.001,2091.664,7.751,1
95.607261,28.266795,469.022,22.199,243.189,55.965,10,0.118,9.411,0.45,2049.087,1023.693,1
95.854035,28.608016,815.411,31.68,121.562,253.394,30,0.121,28.265,0.05,2039.508,348.928,1
94.201306,28.005389,263.199,30.425,98.802,55.965,10,0.125,25.137,0.001,1660.932,5.194,1
94.789222,27.859444,424.879,15.331,332.452,307.81,10,0.121,4.484,0.01,2048.049,11.113,1
95.892707,28.785391,1505.362,15.842,238.44,605.358,30,0.131,4.675,0.45,1576.882,433.778,1
95.777764,28.257258,654.387,31.475,143.937,118.721,60,0.118,22.24,0.45,2104.667,2498.181,1
95.729657,27.047848,1065.109,28.418,345.605,179.177,10,0.12,16.763,0.001,1572.741,3.164,1
96.158495,27.309012,275.984,28.517,177.345,118.721,10,0.125,18.404,0.001,1344.962,3.084,1
